route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,shape_id
前橋高崎線_A,土日祝,土日祝_10時20分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
新前橋駅西口線_B,土日祝,土日祝_10時20分_系統10722,前橋駅前（総社神社・老年病研究所・立川町通り 経由）,,,1,10722
スマーク線_A,土日祝,土日祝_10時30分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
高崎　女子大線_A,土日祝,土日祝_10時40分_系統122,高崎駅前（上滝 経由）,,,1,122
高崎市循環バス　ぐるりん　群馬の森線_A,土日祝,土日祝_11時00分_系統20211,高崎駅東口（健大・元島名コース下り 経由）,,,1,20211
スマーク線_A,土日祝,土日祝_11時00分_系統1312,伊勢崎駅前（伊勢崎市文化会館 経由）,,,1,1312
新前橋駅西口線_B,土日祝,土日祝_11時10分_系統10721,新前橋駅西口（立川町通り・老年病研究所・総社神社 経由）,,,0,10721
高崎市循環バス　ぐるりん　京ヶ島線_A,土日祝,土日祝_11時10分_系統20111,高崎駅東口（高女・中央中等コース下り 経由）,,,1,20111
前橋高崎線_A,土日祝,土日祝_11時15分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
高崎市循環バス　ぐるりん　群馬の森線_B,土日祝,土日祝_11時20分_系統20212,高崎駅東口（中居団地・群馬の森コース下り 経由）,,,0,20212
高崎市循環バス　ぐるりん　京ヶ島線_B,土日祝,土日祝_11時30分_系統20112,高崎駅東口（上大類・ 京目コース下り 経由）,,,0,20112
スマーク線_A,土日祝,土日祝_11時40分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
前橋高崎線_A,土日祝,土日祝_11時48分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
新前橋駅西口線_B,土日祝,土日祝_11時50分_系統10722,前橋駅前（総社神社・老年病研究所・立川町通り 経由）,,,1,10722
高崎　女子大線_A,土日祝,土日祝_11時55分_系統121,県立女子大学（上滝・玉村 経由）,,,0,121
スマーク線_A,土日祝,土日祝_12時15分_系統1312,伊勢崎駅前（伊勢崎市文化会館 経由）,,,1,1312
高崎　女子大線_A,土日祝,土日祝_12時40分_系統122,高崎駅前（上滝 経由）,,,1,122
前橋高崎線_A,土日祝,土日祝_12時45分_系統101,高崎駅（本町・県庁前・日高・芝塚 経由）,,,0,101
スマーク線_A,土日祝,土日祝_12時55分_系統1311,スマーク（伊勢崎市文化会館 経由）,,,0,1311
高崎市循環バス　ぐるりん　群馬の森線_A,土日祝,土日祝_12時55分_系統20211,高崎駅東口（健大・元島名コース下り 経由）,,,1,20211
新前橋駅西口線_B,土日祝,土日祝_12時55分_系統10721,新前橋駅西口（立川町通り・老年病研究所・総社神社 経由）,,,0,10721
前橋高崎線_A,土日祝,土日祝_12時58分_系統102,前橋駅（芝塚・日高・県庁前 経由）,,,1,102
